phrase,meaning_zh,usage_zh,example_en,example_zh,category,difficulty
be familiar with,熟悉,常用於技能工具流程或知識,You should be familiar with the software,你應該熟悉這套軟體,business,medium
be interested in,對某事有興趣,常用於職缺產品服務或活動,I am interested in the new position,我對這個新職位有興趣,general,easy
be available for,有空可以參加,常用於安排會議面試或服務時間,Are you available for a meeting tomorrow,你明天有空開會嗎,business,easy
be scheduled to,預定安排,常用於會議航班活動或交付時間,The shipment is scheduled to arrive today,貨物預定今天抵達,toeic_phrase,medium
be required to,被要求必須,常用於規定流程或職責,Visitors are required to wear badges,訪客必須配戴識別證,business,medium
be expected to,預期應該,常用於工作責任交付或表現,The report is expected to be ready tomorrow,報告預計明天準備好,business,medium
be likely to,很可能,常用於預測結果或趨勢,Prices are likely to increase next month,價格下個月很可能上漲,business,medium
be able to,能夠,常用於能力可行性或安排,We are able to deliver the order by Friday,我們能在星期五前送達訂單,general,easy
be willing to,願意,常用於協商合作或幫忙,The company is willing to offer a discount,公司願意提供折扣,business,medium
provide someone with,提供某人某物,常用於服務設備資訊或支援,The hotel provides guests with free breakfast,飯店提供房客免費早餐,toeic_phrase,medium
offer a discount,提供折扣,常用於銷售促銷與報價,The store offers a discount this week,這家店本週提供折扣,business,easy
place an order,下訂單,常用於採購電商與供應商交易,We would like to place an order today,我們想今天下訂單,business,easy
confirm an appointment,確認預約,常用於面試診所會議與商務拜訪,Please confirm your appointment by email,請用電子郵件確認你的預約,business,easy
make an appointment,預約,常用於會面面試醫療與服務,I need to make an appointment with the manager,我需要跟經理預約,business,easy
arrange a meeting,安排會議,常用於商務溝通與內部協調,Can you arrange a meeting for next Monday,你可以安排下週一的會議嗎,business,easy
attend a meeting,參加會議,常用於辦公室與商務場合,She will attend a meeting this afternoon,她今天下午會參加會議,business,easy
hold a meeting,舉行會議,常用於公司內部或正式會議,The company will hold a meeting tomorrow,公司明天會舉行會議,business,easy
reschedule a meeting,重新安排會議,常用於時間變更與會議延期,We need to reschedule the meeting,我們需要重新安排會議,business,medium
cancel a meeting,取消會議,常用於時間衝突或計畫變更,They decided to cancel the meeting,他們決定取消會議,business,easy
prepare for,準備,常用於準備會議考試簡報或活動,We need to prepare for the presentation,我們需要準備簡報,general,easy
make a presentation,做簡報,常用於會議課程與商務提案,She will make a presentation tomorrow,她明天會做簡報,business,easy
give a speech,發表演說,常用於活動會議與正式場合,The CEO will give a speech at the event,執行長會在活動中演說,business,medium
take notes,做筆記,常用於會議課程與訓練,Please take notes during the meeting,請在會議中做筆記,general,easy
make a decision,做決定,常用於管理決策與日常選擇,We need to make a decision today,我們今天需要做決定,general,easy
reach an agreement,達成協議,常用於合約談判與商務合作,The two companies reached an agreement,兩家公司達成協議,business,medium
sign a contract,簽合約,常用於商務交易合作與聘僱,They signed a contract yesterday,他們昨天簽了合約,business,easy
renew a contract,續約,常用於合約租約服務與合作,We plan to renew the contract next month,我們計畫下個月續約,business,medium
make a payment,付款,常用於帳單訂單與財務流程,Please make a payment before Friday,請在星期五前付款,business,easy
issue an invoice,開立發票,常用於會計銷售與商務交易,The company will issue an invoice today,公司今天會開立發票,business,medium
process a refund,處理退款,常用於客服電商與財務,The refund will be processed within five days,退款將在五天內處理,business,medium
request a refund,要求退款,常用於客訴退貨與服務問題,The customer requested a refund,顧客要求退款,business,easy
receive a receipt,收到收據,常用於購物報帳與交易紀錄,You will receive a receipt by email,你會透過電子郵件收到收據,business,easy
make a complaint,提出抱怨投訴,常用於客服消費與服務問題,The customer made a complaint about the service,顧客對服務提出抱怨,business,medium
resolve a problem,解決問題,常用於客服工程與日常工作,We need to resolve the problem quickly,我們需要快速解決問題,business,easy
provide assistance,提供協助,常用於客服服務與支援,Our staff will provide assistance at the desk,我們的員工會在櫃台提供協助,business,medium
customer service,客戶服務,常見於客服部門與服務流程,Please contact customer service for help,請聯絡客服尋求協助,business,easy
technical support,技術支援,常用於軟體設備與服務問題,Technical support is available twenty four hours,技術支援二十四小時提供服務,tech,easy
user manual,使用手冊,常見於產品說明設備操作與安裝,Please read the user manual before use,使用前請閱讀使用手冊,tech,easy
safety instructions,安全說明,常見於設備工作場所與產品使用,Follow the safety instructions carefully,請仔細遵守安全說明,workplace,easy
maintenance work,維修保養工作,常用於設備建築與工廠維護,Maintenance work will start at nine,維修工作將在九點開始,workplace,medium
under construction,施工中,常見於道路建築網站或設施維修,The main entrance is under construction,主要入口正在施工,toeic_phrase,easy
out of order,故障中,常見於設備電梯機器或公共設施,The elevator is out of order,電梯故障中,toeic_phrase,easy
in stock,有庫存,常用於商品庫存與銷售,The item is currently in stock,這項商品目前有庫存,business,easy
out of stock,缺貨,常用於零售電商與庫存管理,The product is out of stock now,這項產品現在缺貨,business,easy
available online,可在線上取得,常用於服務商品文件與申請,The form is available online,表格可以在線上取得,toeic_phrase,easy
for sale,出售中,常見於商品房產車輛或促銷,This office chair is for sale,這張辦公椅正在出售,general,easy
on sale,特價中,常用於零售促銷與購物,The laptop is on sale this week,這台筆電本週特價,general,easy
free of charge,免費,常用於服務配送或額外支援,Delivery is free of charge,配送免費,business,medium
at no extra cost,不需額外費用,常用於服務升級保固或附加項目,Installation is included at no extra cost,安裝包含在內不需額外費用,business,medium
within walking distance,步行可達距離,常用於飯店旅遊租屋與地點描述,The hotel is within walking distance of the station,飯店離車站步行可達,travel,medium
nearby area,附近地區,常用於地點旅遊住宿與服務,There are many restaurants in the nearby area,附近地區有很多餐廳,travel,easy
public transportation,大眾運輸,常用於交通旅遊與通勤,Public transportation is convenient in this city,這個城市的大眾運輸很方便,travel,easy
round trip,來回旅程來回票,常用於交通機票車票與旅行,I would like to book a round trip ticket,我想訂一張來回票,travel,easy
one way ticket,單程票,常用於交通與旅行,She bought a one way ticket to Tokyo,她買了一張去東京的單程票,travel,easy
boarding pass,登機證,常見於機場旅行與報到流程,Please show your boarding pass at the gate,請在登機門出示登機證,travel,easy
departure time,出發時間,常用於航班火車巴士與行程,The departure time has changed,出發時間已經更改,travel,easy
arrival time,抵達時間,常用於交通行程與旅遊安排,The arrival time is listed on the ticket,抵達時間列在票上,travel,easy
luggage claim,行李提領處,常見於機場入境與旅行,Please go to the luggage claim area,請前往行李提領區,travel,medium
front desk,櫃台,常見於飯店辦公室與接待處,Please leave your key at the front desk,請把鑰匙留在櫃台,travel,easy
room service,客房服務,常見於飯店住宿與餐飲,Room service is available until ten,客房服務供應到十點,travel,easy
business hours,營業時間,常用於商店辦公室與服務窗口,Our business hours are from nine to six,我們的營業時間是九點到六點,business,easy
opening hours,開放時間營業時間,常用於商店景點與辦公室,Please check the opening hours online,請在線上查看開放時間,general,easy
closing time,關門時間結束時間,常用於商店辦公室與活動,The closing time is eight tonight,今晚關門時間是八點,general,easy
be located in,位於,常用於地點描述與公司介紹,The office is located in Taipei,辦公室位於台北,general,easy
be based in,總部位於以某地為據點,常用於公司團隊與業務據點,The company is based in Singapore,公司總部位於新加坡,business,medium
move to,搬到移至,常用於辦公室住處或系統轉移,The office will move to a new building,辦公室將搬到新大樓,general,easy
transfer to,轉移轉接調職,常用於電話資金資料或職位轉換,Please transfer the call to sales,請把電話轉接到業務部,business,medium
apply for,申請,常用於工作簽證會員貸款或服務,He applied for a sales position,他申請了一個業務職位,general,easy
qualify for,符合資格,常用於優惠職位貸款或會員資格,You may qualify for a discount,你可能符合折扣資格,business,medium
be eligible for,有資格符合資格,正式用法常見於福利補助與職缺,Employees are eligible for health benefits,員工有資格享有健康福利,business,medium
make progress,取得進展,常用於學習專案工作或改善,The team made progress this week,團隊這週取得進展,general,easy
improve performance,提升表現,常用於工作學習系統或設備效能,The update will improve performance,這次更新會提升效能,business,medium
increase sales,提高銷售額,常用於業務行銷與財務成果,The campaign helped increase sales,這次活動幫助提高銷售額,business,easy
reduce costs,降低成本,常用於營運財務與效率改善,The new system can reduce costs,新系統可以降低成本,business,easy
save time,節省時間,常用於效率工具流程與服務,This tool can save time,這個工具可以節省時間,general,easy
take advantage of,利用善用,常用於機會優惠資源或優勢,You should take advantage of this offer,你應該善用這個優惠,business,medium
as a result,因此結果是,常用於因果說明與報告,Sales increased as a result of the campaign,銷售因這次活動而增加,toeic_phrase,medium
in addition,此外,常用於補充資訊與正式寫作,In addition we offer free delivery,此外我們提供免費配送,toeic_phrase,medium
in order to,為了,常用於說明目的與計畫,We updated the system in order to improve speed,我們更新系統是為了提升速度,toeic_phrase,medium
instead of,而不是取代,常用於比較選擇與替代方案,We will email the file instead of printing it,我們會用電子郵件寄檔案而不是列印,general,easy
as well as,以及也,常用於連接兩個項目或補充資訊,The package includes breakfast as well as parking,這個方案包含早餐以及停車,toeic_phrase,medium
no later than,不晚於最遲,常用於期限與正式通知,Please reply no later than Friday,請最晚在星期五前回覆,business,medium
prior to,在之前,正式用法常見於通知規定與流程,Please arrive prior to the interview,請在面試前抵達,business,medium
regardless of,不論無論,常用於規定政策與條件說明,All visitors must register regardless of age,所有訪客不論年齡都必須登記,toeic_phrase,hard
in case of,如果發生萬一,常用於安全規定與緊急情況,Call this number in case of emergency,萬一發生緊急情況請打這個號碼,toeic_phrase,medium
in terms of,就某方面而言,常用於比較分析與報告,The product is strong in terms of quality,這項產品在品質方面很強,business,medium
compared with,與相比,常用於數據比較與市場分析,Sales increased compared with last year,銷售與去年相比增加了,business,medium
because of,因為由於,常用於原因說明,The store closed early because of the storm,商店因暴風雨提早關門,general,easy
thanks to,多虧由於,常用於正面原因說明,Thanks to your help we finished on time,多虧你的幫忙我們準時完成,general,easy
be known for,以某事聞名,常用於公司產品地點或人物介紹,The restaurant is known for fresh seafood,這家餐廳以新鮮海鮮聞名,general,medium
be related to,與有關,常用於問題主題工作或資料關聯,This issue is related to the software update,這個問題和軟體更新有關,general,easy
be similar to,與相似,常用於比較產品流程或情況,This model is similar to the previous one,這個型號和上一個很相似,general,easy
be different from,與不同,常用於比較產品文化或流程,This plan is different from the old one,這個計畫和舊的不同,general,easy
be suitable for,適合,常用於產品服務課程或職位,This course is suitable for beginners,這門課適合初學者,general,easy
be designed for,專為而設計,常用於產品服務工具或課程,This app is designed for TOEIC learners,這個應用程式是為多益學習者設計的,business,medium
be equipped with,配備有,常用於設備車輛房間與產品介紹,The room is equipped with a projector,房間配備投影機,toeic_phrase,medium
be covered by,由涵蓋受保障,常用於保險保固與服務範圍,The repair is covered by the warranty,這次維修在保固範圍內,business,medium
under warranty,在保固期內,常用於產品維修與客服,The printer is still under warranty,這台印表機仍在保固期內,business,easy
terms and conditions,條款與條件,常見於合約服務與購買規則,Please read the terms and conditions carefully,請仔細閱讀條款與條件,business,medium
return policy,退貨政策,常用於零售電商與客服,The return policy is listed on the website,退貨政策列在網站上,business,easy
delivery date,交貨日期配送日期,常用於訂單物流與採購,The delivery date is next Tuesday,交貨日期是下週二,business,easy
shipping fee,運費,常用於購物物流與訂單,The shipping fee is included in the price,運費已包含在價格內,business,easy
tracking number,追蹤號碼,常用於物流包裹與訂單查詢,Please enter your tracking number online,請在線上輸入你的追蹤號碼,business,easy
supply chain,供應鏈,常用於製造物流採購與商務新聞,The supply chain was affected by the delay,供應鏈受到延遲影響,business,hard
inventory level,庫存水位庫存量,常用於零售製造與倉儲管理,We need to check the inventory level,我們需要檢查庫存量,business,medium
quality control,品質管制,常用於製造生產與服務品質,Quality control is important in production,品質管制在生產中很重要,business,medium
sales department,業務部門,常用於公司組織與職責,Please contact the sales department,請聯絡業務部門,business,easy
human resources,人力資源部,常用於公司招聘訓練與員工事務,Human resources will contact you soon,HR 會很快聯絡你,business,easy
job opening,職缺,常用於招聘求職與公司公告,There is a job opening in the finance department,財務部有一個職缺,business,easy
job applicant,求職者申請人,常用於招聘面試與履歷,Each job applicant must submit a resume,每位求職者都必須提交履歷,business,medium
work experience,工作經驗,常用於求職履歷與面試,She has five years of work experience,她有五年工作經驗,business,easy
training session,訓練課程,常用於公司培訓與教育,The training session starts at nine,訓練課程九點開始,business,easy
orientation program,新人訓練入職說明,常用於新員工入職流程,New employees must attend the orientation program,新員工必須參加入職說明,business,medium
performance review,績效考核,常用於人資管理與員工評估,The performance review will be held next week,績效考核將在下週舉行,business,medium
pay raise,加薪,常用於薪資與工作表現討論,He received a pay raise after the review,他在考核後獲得加薪,business,easy
paid vacation,帶薪休假,常用於員工福利與人資政策,Employees receive ten days of paid vacation,員工有十天帶薪休假,business,easy
sick leave,病假,常用於員工請假與公司制度,She took sick leave yesterday,她昨天請病假,business,easy
business trip,出差,常用於工作旅行與商務安排,He is on a business trip this week,他這週在出差,business,easy
expense report,費用報告,常用於出差報帳與財務流程,Please submit your expense report by Friday,請在星期五前提交費用報告,business,medium
travel itinerary,旅行行程,常用於旅遊商務出差與安排,The travel itinerary includes three cities,旅行行程包含三個城市,travel,medium
conference room,會議室,常用於辦公室會議與預約,The conference room is booked at two,會議室兩點已被預訂,business,easy
office supplies,辦公用品,常用於採購與行政管理,We need to order more office supplies,我們需要訂購更多辦公用品,office,easy
copy machine,影印機,常見於辦公室設備,The copy machine is out of order,影印機故障了,office,easy
printer paper,印表紙,常見於辦公室用品,We ran out of printer paper,我們印表紙用完了,office,easy
access card,門禁卡識別卡,常用於辦公室與建築物通行,Please use your access card to enter,請使用門禁卡進入,office,easy
security check,安全檢查,常見於機場辦公大樓與活動入口,All visitors must pass the security check,所有訪客都必須通過安全檢查,workplace,medium
parking lot,停車場,常用於辦公室商店與旅遊地點,The parking lot is behind the building,停車場在大樓後方,general,easy
main entrance,主要入口,常用於建築物活動與指引,Please use the main entrance,請使用主要入口,general,easy
emergency exit,緊急出口,常用於安全標示與建築物,The emergency exit is on the left,緊急出口在左邊,workplace,easy
